household_id,cluster,property_type,construction_age_band,floor_area_m2,insulation_quality,tenure_type,num_occupants,income_band,occupancy_pattern,children_present,heating_type,cooling_system,cooking_fuel,solar_pv,pv_capacity_kwp,ev_ownership
83,4,detached house,1945–1970,137.3,medium,owner-occupied,2,high,retired,no,gas boiler,none,electric,yes,5.08,yes
84,3,detached house,before 1945,85.0,poor,private rental,3,high,working adults,yes,gas boiler,AC unit,gas,no,0.0,no
85,5,apartment,1990–2010,88.8,good,owner-occupied,1,high,working adults,no,district heating,AC unit,electric,no,0.0,no
86,6,detached house,before 1945,153.1,medium,private rental,3,high,working adults,no,gas boiler,none,gas,yes,4.53,no
87,2,detached house,1970–1990,185.6,poor,owner-occupied,1,high,retired,no,electric heating,reversible heat pump,electric,no,0.0,no
88,4,semi-detached,1970–1990,130.5,medium,owner-occupied,2,high,students,no,gas boiler,none,electric,no,0.0,yes
89,0,semi-detached,1945–1970,79.4,medium,private rental,2,high,students,yes,gas boiler,none,electric,no,0.0,no
90,0,apartment,1990–2010,58.0,medium,owner-occupied,2,high,mixed,no,gas boiler,AC unit,gas,yes,5.44,no
91,4,semi-detached,before 1945,131.9,good,private rental,2,high,working adults,yes,gas boiler,reversible heat pump,gas,no,0.0,yes
92,1,apartment,after 2010,59.5,good,private rental,2,high,working adults,no,heat pump,none,gas,no,0.0,no
93,6,detached house,1945–1970,115.0,poor,owner-occupied,2,high,mixed,no,gas boiler,none,gas,yes,5.49,no
94,0,apartment,before 1945,50.3,poor,private rental,3,high,working adults,no,gas boiler,AC unit,gas,yes,5.35,no
95,5,apartment,1945–1970,47.5,poor,private rental,2,high,working adults,no,district heating,none,electric,no,0.0,no
96,6,apartment,1970–1990,86.5,poor,private rental,2,high,students,no,gas boiler,none,gas,yes,4.14,no
97,0,apartment,1990–2010,62.6,poor,private rental,1,high,working adults,no,gas boiler,AC unit,gas,no,0.0,no
98,0,apartment,1945–1970,45.0,poor,private rental,2,high,working adults,no,gas boiler,reversible heat pump,gas,yes,5.31,no
99,5,apartment,1970–1990,87.7,good,owner-occupied,1,high,working adults,no,district heating,none,electric,no,0.0,no
100,0,apartment,1945–1970,28.0,medium,private rental,1,high,working adults,no,gas boiler,none,gas,no,0.0,no
101,6,semi-detached,1990–2010,164.1,medium,private rental,3,high,working adults,no,gas boiler,none,electric,no,0.0,no
102,6,semi-detached,1970–1990,99.1,poor,owner-occupied,1,high,working adults,no,gas boiler,none,electric,no,0.0,no
103,0,apartment,before 1945,48.2,medium,owner-occupied,2,high,working adults,no,gas boiler,none,gas,no,0.0,no
104,5,apartment,before 1945,57.6,poor,private rental,2,high,working adults,yes,district heating,none,electric,no,0.0,no
105,6,detached house,after 2010,260.0,medium,private rental,2,high,retired,no,gas boiler,none,gas,yes,5.82,no
106,0,apartment,after 2010,64.0,medium,social housing,1,medium,mixed,no,gas boiler,none,gas,yes,3.11,no
107,2,semi-detached,1990–2010,94.5,medium,private rental,4,high,working adults,no,heat pump,none,electric,no,0.0,no
108,4,semi-detached,1970–1990,96.1,poor,private rental,2,high,mixed,no,gas boiler,none,gas,yes,3.63,yes
109,5,apartment,after 2010,67.8,good,owner-occupied,3,high,working adults,no,district heating,none,electric,no,0.0,no
110,0,apartment,after 2010,29.7,poor,private rental,2,high,retired,no,gas boiler,none,gas,no,0.0,no
111,2,apartment,1970–1990,71.8,poor,private rental,3,high,working adults,yes,heat pump,none,electric,no,0.0,no
112,2,apartment,1945–1970,55.8,good,private rental,3,high,working adults,no,heat pump,none,electric,no,0.0,no
113,6,semi-detached,1970–1990,160.1,medium,owner-occupied,1,high,retired,no,gas boiler,none,gas,no,0.0,no
114,0,apartment,1990–2010,85.5,medium,private rental,3,high,working adults,yes,gas boiler,reversible heat pump,gas,no,0.0,no
115,6,semi-detached,1990–2010,137.5,medium,owner-occupied,1,high,students,no,gas boiler,none,gas,no,0.0,no
116,0,apartment,1970–1990,77.3,medium,social housing,3,medium,mixed,yes,gas boiler,AC unit,electric,no,0.0,no
117,3,terraced,before 1945,72.6,poor,owner-occupied,4,high,students,yes,gas boiler,AC unit,gas,yes,2.66,no
118,2,apartment,after 2010,47.1,medium,private rental,2,high,working adults,no,heat pump,none,electric,no,0.0,no
119,5,apartment,after 2010,28.0,good,owner-occupied,2,high,working adults,yes,district heating,none,gas,no,0.0,no
120,0,apartment,1970–1990,91.1,good,owner-occupied,1,high,students,no,gas boiler,none,gas,no,0.0,no
121,3,terraced,1945–1970,126.8,poor,owner-occupied,5,high,working adults,no,gas boiler,reversible heat pump,electric,yes,3.15,no
122,3,semi-detached,1990–2010,151.4,good,owner-occupied,3,high,working adults,no,gas boiler,AC unit,electric,yes,2.24,no
123,2,detached house,before 1945,179.0,good,owner-occupied,1,high,working adults,no,electric heating,none,electric,no,0.0,no
124,1,apartment,1990–2010,80.8,medium,private rental,2,high,working adults,no,heat pump,none,gas,yes,3.91,no
125,0,apartment,1990–2010,57.7,medium,owner-occupied,2,high,retired,yes,gas boiler,none,gas,yes,4.66,no
126,1,terraced,1970–1990,81.7,medium,owner-occupied,2,high,working adults,no,electric heating,none,gas,no,0.0,no
127,0,apartment,1970–1990,35.4,poor,owner-occupied,2,high,working adults,no,gas boiler,none,electric,no,0.0,no
128,5,apartment,1945–1970,71.6,good,private rental,2,high,working adults,yes,district heating,none,gas,yes,2.51,no
129,6,detached house,1990–2010,97.6,medium,owner-occupied,5,high,working adults,yes,gas boiler,none,gas,yes,5.62,no
130,0,terraced,1970–1990,100.1,good,owner-occupied,1,high,retired,no,gas boiler,none,gas,no,0.0,no
131,0,terraced,before 1945,76.9,good,owner-occupied,3,high,working adults,no,gas boiler,reversible heat pump,gas,no,0.0,no
132,0,semi-detached,1990–2010,68.6,poor,owner-occupied,1,high,mixed,no,gas boiler,none,gas,no,0.0,no
133,2,apartment,after 2010,66.1,good,owner-occupied,1,high,retired,no,heat pump,none,electric,no,0.0,no
134,0,apartment,after 2010,60.6,medium,owner-occupied,1,high,working adults,no,gas boiler,none,electric,no,0.0,no
135,1,detached house,1990–2010,105.6,medium,owner-occupied,3,high,retired,yes,heat pump,none,gas,no,0.0,no
136,1,apartment,after 2010,60.2,medium,private rental,1,high,students,no,heat pump,reversible heat pump,gas,no,0.0,no
137,3,terraced,1990–2010,89.0,poor,private rental,2,high,retired,no,gas boiler,AC unit,gas,no,0.0,no
138,0,terraced,1990–2010,94.8,good,owner-occupied,3,high,mixed,yes,gas boiler,none,gas,yes,3.87,no
139,4,semi-detached,1945–1970,122.3,poor,private rental,2,high,students,no,gas boiler,none,electric,no,0.0,yes
140,0,apartment,1990–2010,58.7,good,social housing,3,medium,working adults,no,gas boiler,none,electric,no,0.0,no
141,6,detached house,1945–1970,147.2,poor,owner-occupied,3,high,students,yes,gas boiler,none,gas,yes,4.93,no
142,3,semi-detached,1970–1990,137.4,poor,owner-occupied,4,high,mixed,no,gas boiler,reversible heat pump,electric,no,0.0,no
143,5,apartment,before 1945,48.4,poor,owner-occupied,1,high,working adults,no,district heating,none,electric,no,0.0,no
144,4,apartment,1945–1970,62.4,medium,private rental,1,high,retired,no,gas boiler,AC unit,gas,no,0.0,yes
145,5,apartment,before 1945,54.8,poor,social housing,2,medium,retired,yes,district heating,none,gas,yes,2.95,no
146,6,terraced,before 1945,114.6,medium,social housing,1,high,mixed,no,gas boiler,none,gas,no,0.0,no
147,6,detached house,1945–1970,137.3,poor,owner-occupied,3,high,mixed,yes,gas boiler,none,gas,yes,4.48,no
148,0,apartment,1945–1970,43.9,medium,social housing,2,high,retired,no,gas boiler,none,gas,no,0.0,no
149,6,semi-detached,1970–1990,108.4,medium,owner-occupied,3,high,working adults,yes,gas boiler,none,electric,no,0.0,no
150,6,semi-detached,1970–1990,164.8,good,owner-occupied,1,high,mixed,no,gas boiler,none,electric,no,0.0,no
151,2,detached house,1970–1990,156.0,medium,owner-occupied,5,high,working adults,no,heat pump,none,electric,no,0.0,no
152,6,semi-detached,1945–1970,100.1,medium,owner-occupied,4,high,working adults,no,gas boiler,none,gas,yes,6.03,no
153,2,terraced,1990–2010,91.9,medium,owner-occupied,2,high,working adults,no,heat pump,reversible heat pump,electric,no,0.0,no
154,0,apartment,1970–1990,65.3,medium,private rental,2,high,working adults,no,gas boiler,AC unit,electric,no,0.0,no
155,1,terraced,1990–2010,87.5,good,social housing,1,high,working adults,no,electric heating,none,gas,no,0.0,no
156,4,apartment,1945–1970,55.5,medium,private rental,2,high,working adults,no,gas boiler,none,gas,no,0.0,yes
157,2,terraced,1970–1990,110.0,poor,owner-occupied,2,high,working adults,no,heat pump,none,electric,no,0.0,yes
158,4,terraced,1970–1990,98.2,medium,owner-occupied,4,high,mixed,yes,gas boiler,AC unit,gas,no,0.0,yes
159,4,semi-detached,1970–1990,124.8,medium,owner-occupied,3,high,working adults,yes,gas boiler,none,electric,no,0.0,yes
160,0,apartment,1990–2010,60.8,medium,private rental,1,high,working adults,no,gas boiler,none,electric,no,0.0,no
161,6,semi-detached,1970–1990,114.4,medium,private rental,5,high,working adults,no,gas boiler,none,gas,no,0.0,no
162,0,terraced,after 2010,93.9,medium,owner-occupied,1,high,working adults,no,gas boiler,none,gas,yes,4.52,no
163,3,detached house,1945–1970,130.5,medium,owner-occupied,4,high,retired,yes,gas boiler,reversible heat pump,gas,no,0.0,no
164,2,semi-detached,1945–1970,87.1,medium,owner-occupied,3,high,mixed,no,heat pump,reversible heat pump,electric,no,0.0,yes
165,4,semi-detached,1945–1970,140.4,good,owner-occupied,4,high,working adults,yes,gas boiler,none,gas,no,0.0,yes
166,1,apartment,after 2010,99.4,medium,owner-occupied,1,high,working adults,no,electric heating,none,gas,no,0.0,no
167,0,apartment,1990–2010,71.6,poor,owner-occupied,2,high,working adults,no,gas boiler,none,electric,no,0.0,no
168,6,semi-detached,1990–2010,157.1,good,owner-occupied,1,high,working adults,no,gas boiler,none,gas,yes,3.99,no
169,2,semi-detached,1990–2010,149.5,medium,social housing,2,high,students,no,heat pump,none,electric,no,0.0,no
170,6,semi-detached,after 2010,140.7,medium,private rental,5,high,working adults,no,gas boiler,none,electric,no,0.0,no
171,6,terraced,1945–1970,137.5,medium,owner-occupied,3,high,mixed,yes,gas boiler,none,gas,yes,1.82,no
172,1,terraced,1970–1990,93.7,medium,owner-occupied,2,high,working adults,no,heat pump,none,gas,no,0.0,no
173,2,detached house,1990–2010,99.0,medium,owner-occupied,3,high,working adults,no,electric heating,reversible heat pump,electric,yes,4.82,no
174,2,detached house,1970–1990,153.7,good,owner-occupied,3,high,mixed,yes,heat pump,reversible heat pump,electric,yes,5.54,no
175,0,apartment,1970–1990,88.6,good,private rental,1,high,retired,no,gas boiler,none,gas,no,0.0,no
176,0,apartment,before 1945,39.1,good,owner-occupied,2,high,working adults,no,gas boiler,reversible heat pump,gas,no,0.0,no
177,2,terraced,1970–1990,122.1,medium,social housing,2,medium,retired,no,electric heating,AC unit,electric,no,0.0,no
178,3,semi-detached,1970–1990,138.7,medium,private rental,3,high,working adults,no,gas boiler,reversible heat pump,electric,no,0.0,no
179,6,semi-detached,after 2010,138.8,medium,private rental,1,high,students,no,gas boiler,none,electric,no,0.0,no
180,2,terraced,1945–1970,94.2,medium,owner-occupied,4,high,mixed,yes,heat pump,none,electric,no,0.0,no
181,6,detached house,1945–1970,237.4,medium,owner-occupied,3,high,working adults,no,gas boiler,none,electric,yes,4.41,no
182,0,apartment,1945–1970,40.6,poor,private rental,3,medium,working adults,no,gas boiler,AC unit,electric,no,0.0,no
183,6,terraced,before 1945,92.1,poor,owner-occupied,2,high,working adults,no,gas boiler,none,gas,no,0.0,no
184,0,apartment,before 1945,80.9,good,owner-occupied,3,high,retired,yes,gas boiler,none,gas,no,0.0,no
185,2,terraced,after 2010,74.0,good,owner-occupied,1,high,working adults,no,heat pump,reversible heat pump,electric,yes,5.7,yes
186,2,terraced,after 2010,110.1,good,owner-occupied,3,high,working adults,yes,electric heating,none,electric,no,0.0,no
187,0,terraced,after 2010,80.1,good,owner-occupied,4,high,students,yes,gas boiler,none,electric,yes,4.1,no
188,1,semi-detached,1990–2010,137.2,medium,private rental,3,high,mixed,no,electric heating,none,gas,yes,1.93,no
189,2,apartment,1945–1970,47.2,poor,social housing,1,medium,retired,no,electric heating,none,electric,no,0.0,no
190,1,semi-detached,before 1945,101.1,poor,owner-occupied,4,high,mixed,yes,heat pump,none,gas,yes,3.88,no
191,0,apartment,1970–1990,54.6,medium,owner-occupied,2,high,working adults,no,gas boiler,none,electric,yes,1.25,no
192,1,apartment,1945–1970,66.9,medium,owner-occupied,2,high,mixed,no,electric heating,none,gas,yes,3.8,no
193,5,apartment,1945–1970,45.5,medium,owner-occupied,2,high,students,no,district heating,reversible heat pump,gas,no,0.0,no
194,0,apartment,1990–2010,56.6,medium,private rental,1,high,mixed,no,gas boiler,AC unit,gas,no,0.0,no
195,3,terraced,1945–1970,98.9,medium,owner-occupied,1,high,retired,no,gas boiler,reversible heat pump,gas,no,0.0,no
196,6,detached house,1990–2010,182.0,medium,owner-occupied,3,high,working adults,yes,gas boiler,none,gas,yes,4.22,no
197,2,detached house,1945–1970,159.6,medium,private rental,1,high,working adults,no,electric heating,reversible heat pump,electric,yes,3.99,no
198,1,apartment,before 1945,28.8,good,social housing,1,medium,retired,no,electric heating,none,gas,no,0.0,no
199,0,terraced,1970–1990,94.3,good,private rental,2,high,working adults,no,gas boiler,reversible heat pump,gas,yes,2.41,no
200,3,semi-detached,1990–2010,84.9,medium,owner-occupied,5,high,working adults,no,gas boiler,AC unit,gas,no,0.0,no
201,2,apartment,before 1945,72.1,poor,owner-occupied,2,high,working adults,no,electric heating,none,electric,no,0.0,no
202,3,semi-detached,1970–1990,189.8,poor,owner-occupied,4,high,mixed,yes,gas boiler,AC unit,gas,no,0.0,no
203,0,apartment,1970–1990,71.4,poor,private rental,1,high,students,no,gas boiler,none,gas,no,0.0,no
204,2,apartment,1970–1990,84.2,poor,private rental,1,high,students,no,electric heating,none,electric,yes,4.26,no
205,2,terraced,before 1945,87.7,poor,social housing,4,high,students,no,electric heating,none,electric,no,0.0,no
206,1,apartment,1970–1990,54.6,poor,private rental,1,high,working adults,no,heat pump,none,gas,no,0.0,no
207,5,apartment,1970–1990,79.0,poor,social housing,3,high,retired,yes,district heating,reversible heat pump,electric,no,0.0,no
208,0,apartment,1945–1970,50.1,medium,owner-occupied,2,high,working adults,no,gas boiler,reversible heat pump,electric,no,0.0,no
209,6,detached house,1945–1970,85.0,poor,owner-occupied,2,high,working adults,yes,gas boiler,none,gas,no,0.0,no
210,0,detached house,1990–2010,107.4,good,owner-occupied,2,high,working adults,no,gas boiler,none,gas,no,0.0,no
211,6,detached house,1945–1970,140.5,good,owner-occupied,2,high,working adults,no,gas boiler,none,electric,no,0.0,no
212,5,apartment,1945–1970,65.6,good,social housing,2,medium,working adults,no,district heating,AC unit,electric,no,0.0,no
213,0,apartment,1990–2010,93.6,medium,owner-occupied,2,high,retired,no,gas boiler,reversible heat pump,electric,yes,2.53,no
214,0,apartment,after 2010,88.5,good,owner-occupied,2,high,working adults,no,gas boiler,none,electric,no,0.0,no
215,2,terraced,after 2010,109.8,good,private rental,3,high,working adults,yes,electric heating,AC unit,electric,yes,3.08,no
216,0,apartment,1990–2010,28.0,good,private rental,1,high,working adults,no,gas boiler,none,electric,no,0.0,no
217,1,detached house,1970–1990,142.5,poor,social housing,1,high,students,no,heat pump,none,gas,no,0.0,yes
218,0,terraced,1990–2010,80.2,medium,owner-occupied,2,high,students,no,gas boiler,none,electric,yes,3.27,no
219,6,semi-detached,before 1945,101.4,poor,owner-occupied,2,high,working adults,no,gas boiler,none,gas,no,0.0,no
220,4,semi-detached,1945–1970,136.2,poor,owner-occupied,5,high,retired,no,gas boiler,none,electric,no,0.0,yes
221,2,detached house,1990–2010,191.0,medium,owner-occupied,2,high,retired,yes,electric heating,none,electric,no,0.0,yes
222,4,detached house,1970–1990,119.0,poor,owner-occupied,3,high,working adults,yes,gas boiler,none,gas,no,0.0,yes
223,0,apartment,1990–2010,74.9,medium,social housing,1,medium,retired,no,gas boiler,none,electric,no,0.0,no
224,2,detached house,1990–2010,141.5,good,owner-occupied,3,high,working adults,yes,heat pump,none,electric,no,0.0,no
225,5,apartment,1990–2010,80.4,medium,private rental,2,high,working adults,yes,district heating,reversible heat pump,gas,no,0.0,no
226,2,apartment,1945–1970,62.8,medium,private rental,2,high,retired,yes,heat pump,none,electric,no,0.0,no
227,6,detached house,before 1945,93.5,poor,private rental,5,high,mixed,yes,gas boiler,none,electric,yes,6.15,no
228,1,terraced,1970–1990,75.7,poor,owner-occupied,3,high,students,no,electric heating,reversible heat pump,gas,no,0.0,no
229,3,detached house,1970–1990,152.1,poor,private rental,3,high,working adults,yes,gas boiler,AC unit,gas,yes,4.42,no
230,0,apartment,before 1945,70.1,medium,owner-occupied,1,high,retired,no,gas boiler,reversible heat pump,electric,yes,3.19,no
231,6,detached house,1970–1990,157.2,poor,owner-occupied,4,high,working adults,no,gas boiler,none,gas,yes,5.32,no
232,4,apartment,1970–1990,67.0,medium,private rental,4,high,retired,yes,gas boiler,AC unit,electric,no,0.0,yes
233,0,semi-detached,1970–1990,91.5,good,private rental,2,high,mixed,no,gas boiler,reversible heat pump,gas,yes,3.37,no
234,0,apartment,1945–1970,53.0,good,private rental,3,high,mixed,yes,gas boiler,none,electric,no,0.0,no
235,0,apartment,1970–1990,72.2,medium,private rental,3,high,working adults,yes,gas boiler,none,gas,no,0.0,no
236,0,semi-detached,1970–1990,65.0,medium,owner-occupied,4,high,mixed,no,gas boiler,AC unit,gas,no,0.0,no
237,0,semi-detached,1970–1990,101.0,good,private rental,2,high,mixed,no,gas boiler,none,electric,no,0.0,no
238,6,apartment,1970–1990,99.7,poor,social housing,2,medium,retired,yes,gas boiler,none,electric,no,0.0,no
239,2,detached house,1970–1990,196.2,good,owner-occupied,5,high,working adults,yes,heat pump,none,electric,no,0.0,no
240,0,apartment,after 2010,43.2,medium,private rental,1,high,working adults,no,gas boiler,reversible heat pump,gas,no,0.0,no
241,2,semi-detached,1945–1970,93.5,poor,private rental,3,high,working adults,no,electric heating,none,electric,no,0.0,yes
